365,F0001,D02-X26,M104,380
366,F0001,D02-X33,M103,380
367,F0001,D02-X32,M103,410
368,F0001,M56,T507-X01,310
369,F0001,D02-X25,M99,290
370,F0001,M82,T506-X06G,300
371,F0001,D02-X29,M104,300
372,F0001,M82,T506-X08,310
373,F0001,D02-X21,M99,400
374,F0001,M92,F03-X04,380
375,F0001,D02-X31,M103,420
376,F0001,M51,T507-X06G,300
377,F0001,D02-X35,M103,340
378,F0001,M51,T507-X08,290
379,F0001,D02-X28,M104,330
380,F0001,M82,M83,80
381,F0001,M83,T506-X07,310
382,F0001,D02-X24,M99,310
383,F0001,M83,T506-X05G,300
384,F0001,D02-X34,M103,360
385,F0001,M52,T507-X07,290
386,F0001,T204-X17,M62,350
387,F0001,M102,D02-X02,380
388,F0001,T204-X20,M62,300
389,F0001,M102,D02-X05,330
390,F0001,T204-X16,M62,310
391,F0001,M102,D02-X01,410
392,F0001,T204-X18,M62,320
393,F0001,M102,D02-X03,360
394,F0001,T204-X19,M62,300
395,F0001,M102,D02-X04,340
396,F0001,D02-X07,M100,410
397,F0001,M89,F02-X05,330
398,F0001,D02-X11,M100,270
399,F0001,M74,T504-X04,250
400,F0001,D02-X16,M98,370
401,F0001,M110,T505-X04,340
402,F0001,D02-X06,M102,330
403,F0001,M88,F02-X04,340
404,F0001,D02-X09,M100,290
405,F0001,M70,T504-X08,230
406,F0001,D02-X13,M101,370
407,F0001,M108,T505-X07,340
408,F0001,D02-X15,M98,390
409,F0001,M109,T505-X03,340
410,F0001,D02-X17,M98,350
411,F0001,M106,T505-X05,380
412,F0001,D02-X18,M98,350
413,F0001,M92,M93,120
414,F0001,M93,F03-X01,370
415,F0001,D02-X08,M100,390
416,F0001,D02-X10,M100,280
417,F0001,M73,T504-X03,240
418,F0001,D02-X14,M98,430
419,F0001,M107,T505-X08,350
420,F0001,D02-X19,M98,350
421,F0001,M92,F03-X02,370
422,F0001,D02-X12,M100,260
423,F0001,M72,T504-X05,280
424,F0001,D02-X20,M99,430
425,F0001,M93,F03-X03,380
426,F0001,D01-X02,M39,380
427,F0001,M80,T203-X02,550
428,F0001,D01-X05,M39,320
429,F0001,M80,T203-X05,480
430,F0001,D01-X06,M39,320
431,F0001,M80,T203-X06,460
432,F0001,D01-X04,M39,340
433,F0001,M80,T203-X04,510
434,F0001,D01-X03,M39,360
435,F0001,M80,T203-X03,520
436,F0001,D01-X01,M39,410
437,F0001,M113,M112,40
438,F0001,M62,M61,40
439,F0001,M48,M47,40
440,F0001,M124,M123,40
441,F0001,M63,M61,60
442,F0001,M60,M61,220
443,F0001,M59,M58,620
444,F0001,M57,M58,790
445,F0001,M68,M57,830
446,F0001,M69,M68,3620
447,F0001,M69,M70,240
448,F0001,M105,M68,440
449,F0001,M105,M106,210
450,F0001,M107,M106,410
451,F0001,M105,M109,150
452,F0001,M3,M2,350
453,F0001,M1,M2,970
454,F0001,M145,M1,720
455,F0001,M146,M145,250
456,F0001,M16,M15,460
457,F0001,M19,M15,1100
458,F0001,M20,M19,1390
459,F0001,M21,M20,1410
460,F0001,M21,M22,840
461,F0001,M64,M63,160
462,F0001,M9,M10,780
463,F0001,M8,M9,410
464,F0001,M7,M8,400
465,F0001,M59,M7,2120
466,F0001,M65,M58,210
467,F0001,M69,M72,360
468,F0001,M73,M72,300
469,F0001,M41,M141,230
470,F0001,M43,M42,330
471,F0001,M44,M43,710
472,F0001,M45,M44,1340
473,F0001,M46,M45,500
474,F0001,M47,M46,1370
475,F0001,M49,M47,430
476,F0001,M43,M139,240
477,F0001,M53,M19,1050
478,F0001,M50,M53,410
479,F0001,M50,M49,290
480,F0001,M148,M149,660
481,F0001,M145,M148,1230
482,F0001,M6,M2,1220
483,F0001,M7,M6,3290
484,F0001,M12,M9,1230
485,F0001,M12,M14,380
486,F0001,M15,M8,350
487,F0001,M118,M121,570
488,F0001,M118,M117,860
489,F0001,M116,M117,420
490,F0001,M20,M116,480
491,F0001,M24,M21,1130
492,F0001,M28,M26,950
493,F0001,M120,T501-X05,710
494,F0001,M143,M30,430
495,F0001,M27,M1,730
496,F0001,M5,T401-X01,1850
497,F0001,M4,M5,1170
498,F0001,M39,M34,130
499,F0001,M33,M34,2590
500,F0001,M32,M33,1350
501,F0001,M32,M96,240
502,F0001,M75,M96,1700
503,F0001,M77,M76,290
504,F0001,M77,M78,1010
505,F0001,M78,M79,230
506,F0001,M112,M111,350
507,F0001,M114,M112,470
508,F0001,M115,M114,520
509,F0001,M116,M115,570
510,F0001,M85,M60,780
511,F0001,M84,M85,1810
512,F0001,M77,M84,1980
513,F0001,M76,M94,270
514,F0001,M86,M85,730
515,F0001,M86,M87,220
516,F0001,M44,M111,1870
517,F0001,M57,M46,980
518,F0001,M67,M66,320
519,F0001,M67,F01-X06,420
520,F0001,M31,M32,2370
521,F0001,M138,M115,160
522,F0001,M36,M37,350
523,F0001,M151,M148,200
524,F0001,M144,M29,510
525,F0001,M138,T503-X05,670
526,F0001,T251-X02,M129,440
527,F0001,M128,M127,510
528,F0001,M126,M127,2030
529,F0001,M125,M126,640
530,F0001,M123,M125,140
531,F0001,M133,T253-X01,470
532,F0001,M132,M133,2160
533,F0001,M126,M132,1250
534,F0001,M136,T254-X01,580
535,F0001,M135,M132,190
536,F0001,M137,M125,200
537,F0001,M10,T255-X01,650
538,F0001,M123,M117,110
539,F0001,T255-X02,M11,720
540,F0001,M54,M53,1020
541,F0001,M55,M54,1220
542,F0001,M130,T252-X01,1400
543,F0001,M127,M130,2350
544,F0001,T252-X02,M131,510
545,F0001,T253-X02,M134,510
546,F0001,M128,T251-X01,420
547,F0001,M97,M98,550
548,F0001,M96,M97,340
549,F0001,M90,M86,420
550,F0001,M102,M103,330
551,F0001,M100,M97,100
552,F0001,T506-X02,M84,490
553,F0001,M33,M41,310
554,F0001,M54,M45,1040
555,F0001,M81,M78,780
556,F0001,T506-X01,M81,710
557,F0001,M56,M50,460
558,F0001,M56,T507-X02,390
559,F0001,M82,M81,290
560,F0001,M92,M91,370
561,F0001,M89,M88,370
562,F0001,M69,M75,1450
563,F0001,M89,F02-X06,430
564,F0001,M80,T203-X01,660
