event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,variable_family,lp_value,fractionality,selected_q,selected_bias,selected_biased,q_mean,q_std,q_min,q_max,q_top1_top2_margin,bias_mode,lambda_prim,primal_bound,dual_bound,gap,lp_iterations,nodes,graph_extract_time_seconds,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason,source_file,method,instance_id,prim_score,extract_time_seconds
4,9,4,380,288,1213,t_z_521_509_0,z,0.809423304519256,0.809423304519256,-27.61629676818848,0.0,-27.61629676818848,-29.503632891805548,2.8817406095332365,-55.181373596191406,-27.61629676818848,0.0325775146484375,none,0.0,1e+20,2.934110000000004,1e+20,17227,5,0.017813018,0.669539124,0.6873558079999998,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.017813018
5,11,5,380,188,642,t_z_132_152_3,z,0.8889632452482279,0.8889632452482279,-27.615896224975582,0.0,-27.615896224975582,-29.474611608605635,2.8799250275275323,-55.142704010009766,-27.615896224975582,0.0037174224853515,none,0.0,1e+20,2.934110000000004,1e+20,17230,6,0.017916443,0.66821721,0.686137281,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.017916443
6,13,6,379,321,1330,t_z_230_495_3,z,0.8871296104965773,0.8871296104965773,-27.596576690673828,0.0,-27.596576690673828,-29.465047282719677,2.8796092310831285,-55.10723114013672,-27.596576690673828,0.0055694580078125,none,0.0,1e+20,2.934110000000004,1e+20,17234,7,0.0181333509999999,0.66532489,0.6834620799999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.0181333509999999
7,15,7,378,325,1346,t_z_285_529_3,z,0.8871296104965773,0.8871296104965773,-27.58647346496582,0.0,-27.58647346496582,-29.449714660644528,2.878446626464503,-55.07314682006836,-27.58647346496582,0.0111255645751953,none,0.0,1e+20,2.934110000000004,1e+20,17235,8,0.018077214,0.66325957,0.681340307,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.018077214
8,17,8,377,314,1285,t_z_526_525_0,z,0.997,0.997,-27.582185745239254,0.0,-27.582185745239254,-29.4386724780662,2.876709228521382,-55.04087066650391,-27.582185745239254,0.0075149536132812,none,0.0,1e+20,2.934110000000004,1e+20,17236,9,0.017958918,0.672826857,0.690789547,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.017958918
9,19,9,376,179,592,t_z_133_152_2,z,0.8871275867721565,0.8871275867721565,-27.58875846862793,0.0,-27.58875846862793,-29.4373182793881,2.875291953378554,-55.01814651489258,-27.58875846862793,0.0035037994384765,none,0.0,1e+20,2.934110000000004,1e+20,17238,10,0.017705841,0.6623851419999999,0.6800946629999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.017705841
10,21,10,430,267,931,t_z_505_504_3,z,0.9224110065872448,0.9224110065872448,-27.60797500610352,0.0,-27.60797500610352,-30.714908333711847,4.110988374093239,-55.02121353149414,-27.60797500610352,0.0733165740966796,none,0.0,1e+20,2.934110000000004,1e+20,17292,11,0.017404457,0.6747638219999998,0.6921727779999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.017404457
11,23,11,430,370,1335,t_z_495_285_1,z,0.8350906395609928,0.8350906395609928,-27.698488235473636,0.0,-27.698488235473636,-30.72105429006177,4.103375648992661,-55.00574493408203,-27.698488235473636,9.72747802734375e-05,none,0.0,1e+20,2.934110000000004,1e+20,17295,12,0.0178197969999999,0.672903627,0.6907270199999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.0178197969999999
12,25,12,429,251,845,t_z_499_3_0,z,0.9682163431785152,0.9682163431785152,-27.707839965820312,0.0,-27.707839965820312,-30.729409677999,4.099933095330446,-54.99095153808594,-27.707839965820312,0.0056896209716796,none,0.0,1e+20,2.934110000000004,1e+20,17296,13,0.017960004,0.675948057,0.6939124789999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.017960004
13,26,13,460,275,835,t_z_496_1_3,z,0.9223364925328,0.9223364925328,-27.70409774780273,0.0,-27.70409774780273,-30.785206421561863,3.995854266226104,-54.998001098632805,-27.70409774780273,0.0703868865966796,none,0.0,1e+20,2.934110000000004,1e+20,17368,14,0.0178544339999999,0.6730264919999999,0.6908858709999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.0178544339999999
14,28,14,460,319,995,t_z_76_1_3,z,0.998,0.998,-27.715339660644528,0.0,-27.715339660644528,-30.79003037162449,3.990865259203781,-54.98820114135742,-27.715339660644528,0.0724239349365234,none,0.0,1e+20,2.934110000000004,1e+20,17375,15,0.018058951,0.6794514929999999,0.697514323,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.018058951
15,31,15,460,236,659,t_z_240_76_3,z,0.999,0.999,-27.719242095947266,0.0,-27.719242095947266,-30.79136611689692,3.985491342052117,-54.97648239135742,-27.719242095947266,0.0779743194580078,none,0.0,1e+20,2.934110000000004,1e+20,17376,16,0.017710861,0.6724456429999999,0.6901607469999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv,gcnn,real_01,0.0,0.017710861
