instance_id,method,depth,n_decisions,q_std_mean,q_std_median,margin_mean,lambda_prim_over_qstd_mean,prim_dominates_q_frac,frac_z,frac_m,frac_y,extract_s_mean,infer_s_mean,select_s_mean
real_01,root-z-bias,17,2,3.162998947027808,3.162998947027808,0.02770423889160155,0.0,0.0,1.0,0.0,0.0,0.02123892299999995,0.6770297750000001,0.6982739984999999
real_01,root-z-bias,18,2,3.1544660848398625,3.1544660848398625,0.08423042297363276,0.0,0.0,1.0,0.0,0.0,0.021069551,0.643524005,0.6645987275
real_01,root-z-bias,19,2,3.197659577193524,3.197659577193524,0.02288341522216795,0.0,0.0,1.0,0.0,0.0,0.021469521,0.6784918545,0.6999667055000001
real_01,root-z-bias,20,3,3.2644468361327132,3.289518963319072,0.05024528503417963,0.0,0.0,1.0,0.0,0.0,0.020677588666666632,0.6167200846666666,0.637402614
real_01,root-z-bias,21,3,3.2684843906095757,3.291499233854273,0.05155626932779947,0.0,0.0,1.0,0.0,0.0,0.0207735173333333,0.6390562383333334,0.6598344596666665
real_01,root-z-bias,22,3,3.227952634201577,3.1581918399922686,0.0270010630289713,0.0,0.0,1.0,0.0,0.0,0.020595767666666667,0.6223085893333332,0.6429096919999999
real_01,root-z-bias,23,4,3.2839390542515527,3.326042239704081,0.01364278793334955,0.0,0.0,1.0,0.0,0.0,0.02017162274999995,0.64471221775,0.6648885995
real_01,root-z-bias,24,5,3.4012527007057662,3.5131830152962262,0.0678829193115234,0.0,0.0,1.0,0.0,0.0,0.019855982599999978,0.616394171,0.6362551353999999
real_01,root-z-bias,25,5,3.38698367673294,3.5134370918852524,0.04832077026367182,0.0,0.0,1.0,0.0,0.0,0.019764834599999958,0.6002838613999999,0.620053497
real_01,root-z-bias,26,6,3.4923874981959515,3.671331692638148,0.0277318954467773,0.0,0.0,1.0,0.0,0.0,0.01983332316666665,0.6218272865,0.6416655914999999
real_01,root-z-bias,27,6,3.634263768195062,3.890380031031761,0.0671895345052083,0.0,0.0,1.0,0.0,0.0,0.019367146666666637,0.5887801814999999,0.6081524908333332
real_01,root-z-bias,28,7,3.655732936213891,3.8463248065389815,0.025584357125418487,0.0,0.0,1.0,0.0,0.0,0.019533708999999958,0.6090988001428571,0.6286373918571428
real_01,root-z-bias,29,8,3.677457747948103,3.8478250974632573,0.0354542732238769,0.0,0.0,1.0,0.0,0.0,0.019405134999999976,0.610000965125,0.62941092325
real_01,root-z-bias,30,8,3.6447168192466743,3.79586046128872,0.050661802291870076,0.0,0.0,1.0,0.0,0.0,0.01899632812499995,0.6026251739999999,0.621626537125
real_01,root-z-bias,31,8,3.658143470086375,3.9133569388411313,0.055322408676147426,0.0,0.0,1.0,0.0,0.0,0.019166466124999948,0.622091398875,0.641262818875
