protocol,instance_id,split,size,method,runs,solved,solved_rate,shifted_gmean_wall_time,shifted_gmean_nodes,mean_final_gap,finite_gap_runs,par2,branch_decisions,rl_inference_total,fallback_count
controlled-bbmdp,real_03,transfer,medium,relpscost,5,0,0.0,30.672863516781735,1.0,,0,60.0,0,0.0,0
controlled-bbmdp,real_03,transfer,medium,rl-gcnn,5,0,0.0,32.71893965108335,1.0,,0,60.0,2,0.30422466800000003,0
controlled-bbmdp,real_03,transfer,medium,rl-mlp,5,0,0.0,31.111171828116213,1.0,,0,60.0,2,0.001053661,0
controlled-bbmdp,real_04,transfer,large,default,5,0,0.0,34.70769737557177,0.0,,0,60.0,0,0.0,0
controlled-bbmdp,real_04,transfer,large,mostinf,5,0,0.0,34.92571980068757,0.0,,0,60.0,0,0.0,0
controlled-bbmdp,real_04,transfer,large,random,5,0,0.0,34.80255765257877,0.0,,0,60.0,0,0.0,0
controlled-bbmdp,real_04,transfer,large,relpscost,5,0,0.0,34.79457889903137,0.0,,0,60.0,0,0.0,0
controlled-bbmdp,real_04,transfer,large,rl-gcnn,5,0,0.0,37.32680981599586,0.0,,0,60.0,0,0.0,0
controlled-bbmdp,real_04,transfer,large,rl-mlp,5,0,0.0,35.07308416162457,0.0,,0,60.0,0,0.0,0
controlled-bbmdp,real_05,transfer,medium,default,5,0,0.0,30.863593100891254,1.5694703142468787,,0,60.0,0,0.0,0
controlled-bbmdp,real_05,transfer,medium,mostinf,5,1,0.2,29.958510224257466,3.310429896368671,0.0,1,53.4050805424,0,0.0,0
controlled-bbmdp,real_05,transfer,medium,random,5,1,0.2,30.144011612327223,3.441286069845841,0.0,1,53.5862509166,0,0.0,0
controlled-bbmdp,real_05,transfer,medium,relpscost,5,0,0.0,30.83008398323203,1.5694703142468787,,0,60.0,0,0.0,0
controlled-bbmdp,real_05,transfer,medium,rl-gcnn,5,0,0.0,32.55528287490358,2.7443424611097154,,0,60.0,44,3.460568205,0
