protocol,split,size,method,runs,solved,solved_rate,shifted_gmean_wall_time,shifted_gmean_nodes,median_wall_time,median_nodes,mean_final_gap,finite_gap_runs,par2,average_rank,rl_inference_total,rl_inference_fraction,fallback_count,paired_speedup,paired_speedup_ci_low,paired_speedup_ci_high,wins,ties,losses
controlled-bbmdp,validation,medium,random,5,5,1.0,20.528129887996073,7.222437857035596,20.515857782,1.0,0.0,5,20.5880121562,1.6,0.0,0.0,0,1.1427167944451293,1.038547879673407,1.2779248891367727,9,22,4
controlled-bbmdp,validation,medium,relpscost,5,3,0.6,23.657354306247882,3.1825582103650927,21.029386613,1.0,0.0,3,35.993926966,4.1,0.0,0.0,0,0.9985071627470171,0.9968999289138595,0.9998839523015793,2,27,6
controlled-bbmdp,validation,medium,rl-gcnn,5,4,0.8,24.634568148428862,6.674580766501223,22.735965575,1.0,0.0,4,30.498216984600003,5.1,6.624533502,0.05869731155002012,0,0.9060796974195503,0.8115767038195946,0.998303684242758,1,26,8
controlled-bbmdp,validation,medium,rl-mlp,5,3,0.6,24.09590503555795,8.67727064749837,21.529850823,1.0,0.0,3,36.2335491992,4.9,0.08412346,0.0007103052422204215,0,0.9776330425328387,0.9405026053597004,1.0135702576885595,1,27,7
production-scip,test,small,default,5,5,1.0,1.8902925243136002,1.7594593229224293,1.679033809,1.0,0.0,5,2.0600147836,2.2,0.0,0.0,0,1.0,1.0,1.0,0,35,0
production-scip,test,small,mostinf,5,5,1.0,1.6372685126888857,1.9081223022019946,1.685917539,1.0,0.0,5,1.6727212043999997,2.2,0.0,0.0,0,1.1089824919684852,1.024106880709611,1.2211824397162852,8,23,4
production-scip,test,small,random,5,5,1.0,1.6496824083942672,1.4022488679628622,1.742995344,1.0,0.0,5,1.6836617524000002,3.2,0.0,0.0,0,1.077492981602078,0.9796415236197731,1.1962908333796272,5,23,7
production-scip,test,small,relpscost,5,5,1.0,1.89133612414797,1.7594593229224293,1.686084031,1.0,0.0,5,2.0503393018000002,3.2,0.0,0.0,0,0.9991345100252234,0.9973338833087596,1.0011820122913848,1,26,8
production-scip,test,small,rl-gcnn,5,5,1.0,3.8905196653543017,1.701920077041227,3.525648508,1.0,0.0,5,4.0591249602,6.8,2.667011908,0.2541439630024455,0,0.965850122921742,0.8548657486311486,1.0946552186653837,5,22,8
production-scip,test,small,rl-mlp,5,5,1.0,2.0174574255112567,1.951546323189104,2.080563024,1.0,0.0,5,2.0556255977999998,5.4,0.002848015,0.00036824567546348545,0,1.0214429973543455,0.9635725770252199,1.0889754828118288,3,25,7
production-scip,test,small,strong,5,5,1.0,2.459269568321746,2.1374348530720995,1.713767815,1.0,0.0,5,3.4321937155999995,5.0,0.0,0.0,0,0.8067364611943378,0.5593039632687692,0.9743381036723293,0,0,5
production-scip,transfer,large,default,10,0,0.0,34.11120306766461,0.4142135623730949,34.784857911,0.5,,0,60.0,3.5,0.0,0.0,0,1.0,1.0,1.0,0,35,0
production-scip,transfer,large,mostinf,10,0,0.0,34.096779575836194,0.4142135623730949,34.786277781500004,0.5,,0,60.0,3.5,0.0,0.0,0,1.1089824919684852,1.024106880709611,1.2211824397162852,8,23,4
production-scip,transfer,large,random,10,0,0.0,33.9522874585621,0.4142135623730949,34.771596476,0.5,,0,60.0,3.5,0.0,0.0,0,1.077492981602078,0.9796415236197731,1.1962908333796272,5,23,7
