event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,variable_family,lp_value,fractionality,selected_q,selected_bias,selected_biased,q_mean,q_std,q_min,q_max,q_top1_top2_margin,bias_mode,lambda_prim,primal_bound,dual_bound,gap,lp_iterations,nodes,graph_extract_time_seconds,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
319,639,107,1304,937,2914,t_z_354_509_1,z,0.66666666666666674,0.66666666666666674,11.317037582397461,0,11.317037582397461,11.315796768738448,0.0007672510522542254,11.313294410705566,11.317037582397461,0,none,0,1e+20,3.0719589999999921,1e+20,78537,320,0.15940544400000001,0.030678838,0.19009473399999999,true,branched,
320,641,108,1303,954,3009,t_z_387_386_0,z,0.66666666666666674,0.66666666666666674,11.346954345703125,0,11.346954345703125,11.345710468950953,0.00076697703238561303,11.343205451965332,11.346954345703125,0,none,0,1e+20,3.0719589999999921,1e+20,78539,321,0.16188872100000001,0.030625916,0.19252448,true,branched,
321,643,109,1302,1026,3547,t_z_453_282_1,z,0.66666666666666674,0.66666666666666674,11.376872062683105,0,11.376872062683105,11.375627276717976,0.00076674710256283845,11.373124122619629,11.376872062683105,9.5367431640625e-07,none,0,1e+20,3.0719589999999921,1e+20,78540,322,0.15860404,0.030556831,0.18917070899999999,true,branched,
322,645,110,1322,1028,3161,t_z_406_405_0,z,0.67494842555059686,0.67494842555059686,11.406795501708984,0,11.406795501708984,11.405526441813597,0.00076602772728247444,11.403037071228027,11.406795501708984,9.5367431640625e-07,none,0,1e+20,3.0719589999999921,1e+20,78556,323,0.16011581799999999,0.03093773,0.19106353000000001,true,branched,
323,646,111,1322,524,1299,t_z_117_115_1,z,0.5,0.5,11.436674118041992,0,11.436674118041992,11.435328083211463,0.0007795770924410747,11.432724952697754,11.436674118041992,8.58306884765625e-06,none,0,1e+20,3.0719589999999921,1e+20,78559,324,0.16119124400000001,0.030928231,0.192127673,true,branched,
324,649,112,1321,455,863,t_z_23_20_3,z,0.50422179050397997,0.50422179050397997,11.466185569763184,0,11.466185569763184,11.464957343367894,0.00079518080518780341,11.462244987487793,11.466185569763184,1.049041748046875e-05,none,0,1e+20,3.0719589999999921,1e+20,78560,325,0.16201205099999999,0.030884675,0.19290452999999999,true,branched,
325,651,113,1304,493,1113,t_z_77_76_0,z,0.38859614500298023,0.38859614500298023,11.495759963989258,0,11.495759963989258,11.49447229815407,0.00079739237056815121,11.491766929626465,11.495759963989258,6.580352783203125e-05,none,0,1e+20,3.0719589999999921,1e+20,78587,326,0.15965610899999999,0.030576092999999999,0.190238458,true,branched,
326,653,114,1303,670,2107,t_z_280_279_1,z,0.4181666666666668,0.4181666666666668,11.525215148925781,0,11.525215148925781,11.523988249479398,0.00079847404740894989,11.521286010742188,11.525215148925781,1.9073486328125e-06,none,0,1e+20,3.0719589999999921,1e+20,78588,327,0.16482746200000001,0.030534724999999999,0.19536837700000001,true,branched,
327,654,115,1302,837,2530,t_z_145_329_1,z,0.41666666666666674,0.41666666666666674,11.55473518371582,0,11.55473518371582,11.553509062519455,0.00079858290436002951,11.55080509185791,11.55473518371582,5.7220458984375e-06,none,0,1e+20,3.0719589999999921,1e+20,78590,328,0.162745115,0.030858976,0.19361361299999999,true,branched,
328,656,116,1303,943,2923,t_z_131_94_1,z,0.50099999999999989,0.50099999999999989,11.584250450134277,0,11.584250450134277,11.583029908760638,0.00079743832733686066,11.580327987670898,11.584250450134277,1.621246337890625e-05,none,0,1e+20,3.0719589999999921,1e+20,78605,329,0.15982395699999999,0.030734787999999999,0.19056767099999999,true,branched,
