event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,variable_family,lp_value,fractionality,selected_q,selected_bias,selected_biased,q_mean,q_std,q_min,q_max,q_top1_top2_margin,bias_mode,lambda_prim,primal_bound,dual_bound,gap,lp_iterations,nodes,graph_extract_time_seconds,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
10,19,9,182,92,287,t_z_54_16_3,z,0.0010000000000000564,0.0010000000000000564,-25.407148361206055,1,-24.907148361206055,-25.636101586478098,0.34423417209052481,-26.458053588867188,-24.937984466552734,0.005397796630859375,prim,0.5,1e+20,0.0096120999999999984,1e+20,12791,11,0.012947983999999999,0.45868057400000001,0.47852474099999998,true,branched,
11,23,10,182,81,217,t_z_41_16_0,z,0.48851249999999469,0.48851249999999469,-25.441431045532227,1,-24.941431045532227,-25.738894986582327,0.34927093768293593,-26.646509170532227,-25.057422637939453,0.0027217864990234375,prim,0.5,1e+20,0.0096120999999999984,1e+20,12815,12,0.012544398,0.44387443199999999,0.46331598299999999,true,branched,
12,25,11,180,76,195,t_z_35_16_1,z,0.36635256410256389,0.36635256410256389,-25.561239242553711,1,-25.061239242553711,-25.763413016001383,0.34914997484208093,-26.658687591552734,-25.082143783569336,0.00188446044921875,prim,0.5,1e+20,0.0096120999999999984,1e+20,12825,13,0.013112248999999999,0.38508598500000002,0.40509641600000001,true,branched,
13,27,12,179,67,138,t_z_16_20_1,z,0.36635256410256389,0.36635256410256389,-25.409988403320312,1,-24.909988403320312,-25.777845222856744,0.34545890719504641,-26.664657592773438,-25.102884292602539,0.001056671142578125,prim,0.5,1e+20,0.0096120999999999984,1e+20,12827,14,0.012811978,0.38487829600000001,0.40455343700000002,true,branched,
14,29,13,178,63,121,t_z_18_15_0,z,0.46107692307692316,0.46107692307692316,-25.573093414306641,1,-25.073093414306641,-25.791601856103103,0.34162117291089983,-26.669036865234375,-25.122783660888672,0.0003490447998046875,prim,0.5,1e+20,0.0096120999999999984,1e+20,12828,15,0.013015527000000001,0.36510575099999998,0.38501312399999998,true,branched,
15,31,14,187,54,110,t_z_5_6_3,z,0.30385983813218698,0.30385983813218698,-25.624771118164062,1,-25.124771118164062,-25.88818503191127,0.35706011086666273,-26.659685134887695,-25.21013069152832,0.052125930786132812,prim,0.5,1e+20,0.0096120999999999984,1e+20,12885,16,0.012881292000000001,0.41980410299999998,0.43956830200000002,true,branched,
16,33,15,171,3,5,t_m_1_1,m,0.26875268572494948,0.26875268572494948,-25.288543701171875,0.30000001192092896,-25.138544082641602,-25.926440155296994,0.37175009082757565,-26.763900756835938,-25.206184387207031,0.024473190307617188,prim,0.5,1e+20,0.0096120999999999984,1e+20,12916,17,0.012730811,0.38278331799999998,0.40236443399999999,true,branched,
17,35,16,145,20,45,t_m_11_1,m,0.093697916666666645,0.093697916666666645,-25.352052688598633,0.30000001192092896,-25.202053070068359,-25.946378313261889,0.32943054753555567,-26.754758834838867,-25.286138534545898,0.00267791748046875,prim,0.5,1e+20,0.0096120999999999984,1e+20,12990,18,0.012668667,0.378300097,0.39791234199999997,true,branched,
18,37,17,145,12,28,t_m_7_0,m,0.062437499999999924,0.062437499999999924,-25.405614852905273,0.30000001192092896,-25.255615234375,-25.994461651506096,0.32840616849253057,-26.681467056274414,-25.326141357421875,0.0066127777099609375,prim,0.5,1e+20,0.0096120999999999984,1e+20,13035,19,0.012890548999999999,0.44033239600000001,0.46013136100000002,true,branched,
19,39,18,123,38,127,t_z_18_15_3,z,0.35695238095238102,0.35695238095238102,-25.746574401855469,1,-25.246574401855469,-26.028228372093139,0.33448727338202972,-26.733190536499023,-25.363914489746094,0.0018157958984375,prim,0.5,1e+20,0.0096120999999999984,1e+20,13070,20,0.012623064,0.36462868100000001,0.38411070899999999,true,branched,
