t,t,t,t,t,t
F03-X01,T507-X01,4879.249,TESTA01-136,TESTA01,
T507-X01,T256-X01,8452.793,TESTA01-137,TESTA01,
T507-X01,T256-X02,8225.923,TESTA01-138,TESTA01,
T507-X01,T256-X03,8225.573,TESTA01-139,TESTA01,
T507-X01,D02-X10,7926.015,TESTA01-140,TESTA01,
T507-X01,C07-X01,9703.048,TESTA01-141,TESTA01,
T507-X01,C04-X04,5351.765,TESTA01-142,TESTA01,
T507-X01,C04-X05,5365.884,TESTA01-143,TESTA01,
C03-X02,T506-X01,7111.755,TESTA01-144,TESTA01,
C03-X02,T506-X02,7182.383,TESTA01-145,TESTA01,
C03-X02,T506-X03,7125.787,TESTA01-146,TESTA01,
C03-X02,C05-X03,4948.702,TESTA01-147,TESTA01,
B02-X02,T506-X01,6398.438,TESTA01-148,TESTA01,
B02-X02,T506-X02,6315.224,TESTA01-149,TESTA01,
B02-X02,T506-X03,6416.397,TESTA01-150,TESTA01,
B02-X02,C05-X03,4444.376,TESTA01-151,TESTA01,
B01-X01,C03-X01,7959.26,TESTA01-152,TESTA01,
B02-X03,C02-X07,4116.891,TESTA01-153,TESTA01,
T203-X02,T402-X01,3912.175,TESTA01-154,TESTA01,
C03-X03,T507-X01,7210.525,TESTA01-155,TESTA01,
T253-X02,C05-X02,4680.275,TESTA01-156,TESTA01,
T402-X01,C04-X05,6084.621,TESTA01-157,TESTA01,
F03-X02,D01-X03,8417.892,TESTA01-158,TESTA01,
C04-X03,T255-X02,3154.823,TESTA01-159,TESTA01,
B02-X03,T301-X02,7669.112,TESTA01-160,TESTA01,
T506-X03,C06-X04,8900.837,TESTA01-161,TESTA01,
T255-X01,T252-X02,11044.609,TESTA01-162,TESTA01,
C05-X01,C04-X01,5757.536,TESTA01-163,TESTA01,
T204-X01,C03-X04,8473.78,TESTA01-164,TESTA01,
T503-X01,D01-X01,2811.834,TESTA01-165,TESTA01,
T301-X03,C02-X08,10871.157,TESTA01-166,TESTA01,
T252-X03,T254-X02,6163.638,TESTA01-167,TESTA01,
C02-X01,T203-X09,7888.961,TESTA01-168,TESTA01,
D01-X02,B02-X01,7474.251,TESTA01-169,TESTA01,
C06-X02,T507-X01,4937.935,TESTA01-170,TESTA01,
T401-X01,T301-X01,3066.951,TESTA01-171,TESTA01,
B02-X02,C05-X01,4412.607,TESTA01-172,TESTA01,
T506-X02,C07-X01,2793.28,TESTA01-173,TESTA01,
C04-X04,T256-X02,9556.478,TESTA01-174,TESTA01,
T254-X03,C03-X02,7318.709,TESTA01-175,TESTA01,
T505-X01,D02-X10,24482.219,TESTA01-176,TESTA01,
T507-X05,C05-X03,2473.255,TESTA01-177,TESTA01,
C03-X04,C06-X03,5848.206,TESTA01-178,TESTA01,
T202-X03,T251-X01,7239.365,TESTA01-179,TESTA01,
T256-X03,B02-X03,8671.879,TESTA01-180,TESTA01,
C02-X03,T401-X01,8275.725,TESTA01-181,TESTA01,
T503-X02,C04-X02,6154.822,TESTA01-182,TESTA01,
T252-X01,C06-X01,8036.31,TESTA01-183,TESTA01,
B01-X02,T255-X01,10594.379,TESTA01-184,TESTA01,
C05-X03,C03-X03,4962.658,TESTA01-185,TESTA01,
T203-X09,F03-X02,5170.723,TESTA01-186,TESTA01,
T501-X05G,C04-X03,6402.369,TESTA01-187,TESTA01,
T301-X02,T253-X03,11739.285,TESTA01-188,TESTA01,
C06-X01,T507-X05,4641.759,TESTA01-189,TESTA01,
D02-X10,B01-X02,6242.939,TESTA01-190,TESTA01,
T255-X02,C02-X02,5662.27,TESTA01-191,TESTA01,
C07-X01,T254-X01,11663.308,TESTA01-192,TESTA01,
T251-X03,C05-X03,3673.49,TESTA01-193,TESTA01,
C04-X05,T256-X01,9799.724,TESTA01-194,TESTA01,
T256-X01,D01-X02,7023.583,TESTA01-195,TESTA01,
T202-X02,C03-X04,3572.097,TESTA01-196,TESTA01,
C02-X07,T203-X02,8110.488,TESTA01-197,TESTA01,
T253-X01,C05-X01,4572.708,TESTA01-198,TESTA01,
T301-X01,T252-X03,12690.005,TESTA01-199,TESTA01,
C06-X03,B02-X02,5431.559,TESTA01-200,TESTA01,
T252-X02,C04-X04,11366.449,TESTA01-201,TESTA01,
T254-X02,T503-X01,3906.646,TESTA01-202,TESTA01,
C04-X02,D01-X03,8743.059,TESTA01-203,TESTA01,
T255-X01,C06-X04,6538.88,TESTA01-204,TESTA01,
B02-X01,C03-X02,7284.652,TESTA01-205,TESTA01,
C05-X02,T507-X05,2464.143,TESTA01-206,TESTA01,
C03-X02,T301-X03,4978.639,TESTA01-207,TESTA01,
T203-X03,C02-X01,8073.76,TESTA01-208,TESTA01,
T507-X05,C04-X05,5062.624,TESTA01-209,TESTA01,
C06-X04,T252-X01,7705.507,TESTA01-210,TESTA01,
