t,t,t,t,t,t,t,t,t,t,t
70,F0001,F001-82,D01-X12,T203-X12,2.00E-06,,,15600,,1
71,F0001,F001-59,B02-X24,C02-X04,2.00E-06,,,16800,,1
72,F0001,F001-53,B02-X18,T202-X18,2.00E-06,,,6430,,1
73,F0001,F001-45,B02-X10,T202-X10,2.00E-06,,,6490,,1
74,F0001,F001-50,B02-X15,T202-X15,2.00E-06,,,6370,,1
75,F0001,F001-47,B02-X12,T202-X12,2.00E-06,,,6300,,1
76,F0001,F001-51,B02-X16,T202-X16,2.00E-06,,,6400,,1
77,F0001,F001-60,B02-X25,C02-X05,2.00E-06,,,16470,,1
78,F0001,F001-58,B02-X23,C02-X03,2.00E-06,,,16820,,1
79,F0001,F001-46,B02-X11,T202-X11,2.00E-06,,,6360,,1
80,F0001,F001-52,B02-X17,T202-X17,2.00E-06,,,6410,,1
81,F0001,F001-22,B01-X22,C01-X02,2.00E-06,,,13430,,1
82,F0001,F001-23,B01-X23,C01-X03,2.00E-06,,,13260,,1
83,F0001,F001-21,B01-X21,C01-X01,2.00E-06,,,13470,,1
84,F0001,F001-78,D01-X08,T203-X08,2.00E-06,,,15780,,1
85,F0001,F001-79,D01-X09,T203-X09,2.00E-06,,,15710,,1
86,F0001,F001-77,D01-X07,T203-X07,2.00E-06,,,15830,,1
87,F0001,F001-80,D01-X10,T203-X10,2.00E-06,,,15670,,1
88,F0001,F001-151,C06-X14,C07-X10,2.00E-06,,,21730,,1
89,F0001,F001-158,T204-X06,T504-X01,2.00E-06,,,8310,,1
90,F0001,F001-162,T204-X10,T256-X02,2.00E-06,,,6120,,1
91,F0001,F001-153,T204-X01,F02-X01,2.00E-06,,,2830,,1
92,F0001,F001-146,C06-X09,C07-X05,2.00E-06,,,21920,,1
93,F0001,F001-143,C06-X06,C07-X02,2.00E-06,,,21990,,1
94,F0001,F001-140,C06-X03,F01-X05,2.00E-06,,,7080,,1
95,F0001,F001-141,C06-X04,F01-X06,2.00E-06,,,7190,,1
96,F0001,F001-145,C06-X08,C07-X04,2.00E-06,,,21950,,1
97,F0001,F001-148,C06-X11,C07-X07,2.00E-06,,,21980,,1
98,F0001,F001-152,C06-X15,C07-X11,2.00E-06,,,21960,,1
99,F0001,F001-154,T204-X02,F02-X02,2.00E-06,,,2830,,1
100,F0001,F001-149,C06-X12,C07-X08,2.00E-06,,,21990,,1
101,F0001,F001-147,C06-X10,C07-X06,2.00E-06,,,21910,,1
102,F0001,F001-139,C06-X02,F01-X04,2.00E-06,,,6760,,1
103,F0001,F001-150,C06-X13,C07-X09,2.00E-06,,,21700,,1
104,F0001,F001-144,C06-X07,C07-X03,2.00E-06,,,21980,,1
105,F0001,F001-155,T204-X03,F02-X03,2.00E-06,,,2670,,1
106,F0001,F001-161,T204-X09,T256-X01,2.00E-06,,,6300,,1
107,F0001,F001-163,T204-X11,T256-X03,2.00E-06,,,6120,,1
108,F0001,F001-102,D01-X32,C03-X12,2.00E-06,,,7630,,1
109,F0001,F001-104,D01-X34,C03-X15,2.00E-06,,,7580,,1
110,F0001,F001-106,T503-X05G,C04-X01,2.00E-06,,,17450,,1
111,F0001,F001-108,T503-X01,C04-X03,2.00E-06,,,18150,,1
112,F0001,F001-110,T503-X07,C04-X05,2.00E-06,,,17470,,1
113,F0001,F001-98,D01-X28,C03-X08,2.00E-06,,,7670,,1
114,F0001,F001-101,D01-X31,C03-X11,2.00E-06,,,7650,,1
115,F0001,F001-85,D01-X15,T203-X15,2.00E-06,,,16160,,1
116,F0001,F001-115,T301-X01,C04-X10,2.00E-06,,,10830,,1
117,F0001,F001-88,D01-X18,T203-X18,2.00E-06,,,16080,,1
118,F0001,F001-99,D01-X29,C03-X09,2.00E-06,,,7650,,1
119,F0001,F001-90,D01-X20,T203-X20,2.00E-06,,,15990,,1
120,F0001,F001-96,D01-X26,C03-X06,2.00E-06,,,7750,,1
121,F0001,F001-89,D01-X19,T203-X19,2.00E-06,,,16060,,1
122,F0001,F001-86,D01-X16,T203-X16,2.00E-06,,,16100,,1
123,F0001,F001-94,D01-X24,C03-X04,2.00E-06,,,8010,,1
124,F0001,F001-100,D01-X30,C03-X10,2.00E-06,,,7640,,1
125,F0001,F001-93,D01-X23,C03-X03,2.00E-06,,,8020,,1
126,F0001,F001-83,D01-X13,T203-X13,2.00E-06,,,15650,,1
