event,episode,gradient_step,loss,td_error,epsilon,reward,episode_nodes,episode_solving_time,validation_nodes,validation_time,replay_size,q_value_mean,q_value_std,selected_candidate_rank,cpu_memory_mb,gpu_memory_mb,status,instance
train_update,9,2800,3.458765983581543,3.7725558280944824,0.3369000000000001,,,,,,381,-52.69159698486328,16.409841537475586,1.0,1521.765625,64.423828125,,data/instances/train/real_06.cip
train_update,9,2850,1.7525217533111572,2.0367040634155273,0.3236000000000001,,,,,,388,-56.51439666748047,18.744970321655273,50.0,1521.765625,64.423828125,,data/instances/train/real_06.cip
train_update,9,2900,0.7213552594184875,1.1321775913238525,0.31220000000000003,,,,,,394,-53.452484130859375,19.676782608032227,1.0,1521.765625,64.423828125,,data/instances/train/real_06.cip
train_update,9,2950,3.5079257488250732,3.8689377307891846,0.30080000000000007,,,,,,400,-53.14609146118164,17.02320671081543,1.0,1521.765625,64.423828125,,data/instances/train/real_06.cip
train_update,9,3000,5.036962032318115,5.3543477058410645,0.2894,,,,,,406,-53.80668640136719,17.714141845703125,1.0,1521.765625,64.423828125,,data/instances/train/real_06.cip
episode,9,3008,4.442499160766602,4.910472393035889,0.2856000000000001,-38.0,39,60.595182,,,409,,,12.384615384615385,1521.765625,64.423828125,timelimit,data/instances/train/real_06.cip
validation,10,3008,,,,,,,63.0,29.416021,409,,,,,,optimal,data/instances/validation/real_08.cip
train_update,10,3050,1.9061168432235718,2.229004144668579,0.2761,,,,,,413,-59.26201629638672,17.909738540649414,1.0,1536.45703125,64.423828125,,data/instances/train/real_06.cip
train_update,10,3100,0.35083985328674316,0.6713951230049133,0.26470000000000005,,,,,,419,-58.47679138183594,17.16230583190918,16.0,1536.45703125,64.423828125,,data/instances/train/real_06.cip
train_update,10,3150,8.112797737121582,8.519716262817383,0.25329999999999997,,,,,,425,-60.716636657714844,16.85972023010254,1.0,1536.45703125,64.423828125,,data/instances/train/real_06.cip
train_update,10,3200,5.032156467437744,5.414722919464111,0.2419,,,,,,431,-57.81858825683594,15.470459938049316,1.0,1536.45703125,64.423828125,,data/instances/train/real_06.cip
