protocol,split,size,method,runs,solved,solved_rate,shifted_gmean_wall_time,shifted_gmean_nodes,median_wall_time,median_nodes,mean_final_gap,finite_gap_runs,par2,average_rank,rl_inference_total,rl_inference_fraction,fallback_count,paired_speedup,paired_speedup_ci_low,paired_speedup_ci_high,wins,ties,losses
production-scip,transfer,medium,rl-gcnn-prim-l05,6,6,1.0,31.654187656362566,10.076759255982035,24.566107823,13.0,0.0,6,42.723399352166666,2.6666666666666665,144.246298841,0.5697018399128271,0,0.7105116788065464,0.46952404394533304,1.0595416796561363,2,0,8
production-scip,transfer,medium,rl-gcnn-prim-l10,6,6,1.0,38.62392048924779,12.536620411471823,24.6339349175,13.0,0.0,6,85.32779563633333,3.1666666666666665,379.061189982,0.7450136839024254,0,0.6990609596915492,0.41318102068417095,1.0722373267559349,2,0,8
production-scip,validation,medium,default,2,2,1.0,11.053732428358922,4.099019513592785,11.206625281,6.5,0.0,2,11.206625281,1.0,0.0,0.0,0,1.0,1.0,1.0,0,10,0
production-scip,validation,medium,rl-gcnn,2,2,1.0,19.69476684861196,10.83215956619923,24.4899264135,35.0,0.0,2,24.4899264135,3.5,28.303772139,0.587167558378563,0,0.6754410006281045,0.5172331081231878,0.8813959055637681,1,0,9
production-scip,validation,medium,rl-gcnn-prim-gated,2,2,1.0,22.018592997780974,11.649110640673515,28.599474516,40.0,0.0,2,28.599474516,4.5,35.273959031,0.6252965199462358,0,0.6196210025442934,0.44288332146494513,0.8391621214719442,1,0,9
production-scip,validation,medium,rl-gcnn-prim-l025,2,2,1.0,19.187745713658437,9.295630140986999,22.939540405499997,26.5,0.0,2,22.939540405499997,3.5,24.587571453,0.5460926984525639,0,0.6700556478066347,0.5122045780902539,0.8509324218303828,1,0,9
production-scip,validation,medium,rl-gcnn-prim-l05,2,2,1.0,19.69507478743584,9.295630140986999,23.719029558499997,26.5,0.0,2,23.719029558499997,5.0,25.82706187,0.5532235550531305,0,0.7105116788065464,0.46952404394533304,1.0595416796561363,2,0,8
production-scip,validation,medium,rl-gcnn-prim-l10,2,2,1.0,19.08262425969154,9.198039027185569,22.7049464575,26.0,0.0,2,22.7049464575,3.5,23.956293264,0.5367624511075128,0,0.6990609596915492,0.41318102068417095,1.0722373267559349,2,0,8
production-scip,all,all,default,10,10,1.0,13.35451859098842,8.503001302783908,18.729809230999997,9.0,0.0,10,21.290155873599996,1.7,0.0,0.0,0,1.0,1.0,1.0,0,10,0
production-scip,all,all,rl-gcnn,10,10,1.0,19.416452892163463,11.641544561929251,24.62757209,13.0,0.0,10,36.2779863616,4.3,211.61030693100003,0.5906699465088443,0,0.6754410006281045,0.5172331081231878,0.8813959055637681,1,0,9
production-scip,all,all,rl-gcnn-prim-gated,10,10,1.0,20.669403539691594,11.991201162825945,23.053096869500003,14.5,0.0,10,38.2196479808,4.0,239.22161978999998,0.6331912653865368,0,0.6196210025442934,0.44288332146494513,0.8391621214719442,1,0,9
production-scip,all,all,rl-gcnn-prim-l025,10,10,1.0,19.469294241460148,10.409437883125863,26.317087293,14.5,0.0,10,40.149158904800004,4.0,235.354169386,0.59291922478627,0,0.6700556478066347,0.5122045780902539,0.8509324218303828,1,0,9
production-scip,all,all,rl-gcnn-prim-l05,10,10,1.0,17.96359021963447,9.34931167720078,22.311663750500003,13.0,0.0,10,31.0449438889,3.5,174.492594667,0.5700498848042,0,0.7105116788065464,0.46952404394533304,1.0595416796561363,2,0,8
production-scip,all,all,rl-gcnn-prim-l10,10,10,1.0,18.615480249129437,8.890592021623076,22.366461023,9.0,0.0,10,56.025754654,3.5,403.95372876199997,0.7267999065242653,0,0.6990609596915492,0.41318102068417095,1.0722373267559349,2,0,8
